数据条目, 资源分类, 关键字, 国家分类, 提供单位
燃煤（重油）锅炉清洁能源替代受理点, 机构团体, 受理点名称、地址、服务时间、联系电话, 工业, 上海市经济和信息化委员会
中小企业发展专项资金分配结果, 经济建设, 2014、中小企业、专项资金、分配结果, 工业, 上海市经济和信息化委员会
重点技改领域专项资金分配结果, 经济建设, 2014、重点技改、专项资金、分配, 工业, 上海市经济和信息化委员会
清洁生产领域专项资金分配结果, 经济建设, 2014、清洁生产、专项资金、分配结果, 工业, 上海市经济和信息化委员会
软件和集成电路产业发展领域专项资金分配结果, 经济建设, 2014、软件和集成电路产业、专项资金, 工业, 上海市经济和信息化委员会
企业自主创新领域专项资金分配结果, 经济建设, 2014、企业、自主创新、专项资金、分配, 工业, 上海市经济和信息化委员会
信息化发展领域专项资金分配结果, 经济建设, 2014、信息化发展、专项资金、分配, 信息产业综合类, 上海市经济和信息化委员会
社会诚信体系建设专项资金分配结果, 经济建设, 2014、社会诚信体系建设、专项资金、结果, 综合类, 上海市经济和信息化委员会
自主品牌建设领域专项资金分配, 经济建设, 2014、自主品牌建设、领域、专项资金、分配, 工业, 上海市经济和信息化委员会
知识产权优势企业领域专项资金分配结果, 经济建设, 知识产权、优势企业、专项资金、分配, 企业, 上海市经济和信息化委员会
两化融合研究中心和重点实验室, 经济建设, 两化融合、研究中心、重点实验室, 信息产业综合类, 上海市经济和信息化委员会
产学研合作示范基地, 经济建设, 产学研、合作、示范、基地, 工业, 上海市经济和信息化委员会
上海市中小企业服务机构名录, 经济建设, 上海市、中小企业、服务机构, 工业, 上海市经济和信息化委员会
上海市中小企业公共服务示范平台名录, 经济建设, 上海市中小企业公共服务示范平台名录, 工业, 上海市经济和信息化委员会
知识产权优势企业, 经济建设, 知识产权、优势企业, 企业, 上海市经济和信息化委员会
食盐定点生产企业, 经济建设, 食盐定点、生产、企业, 综合类, 上海市经济和信息化委员会
市级新型工业化产业示范基地, 经济建设, 市级、新型工业化、产业示范基地, 工业, 上海市经济和信息化委员会
国家级新型工业化产业示范基地, 经济建设, 国家级、新型工业化产业、示范基地, 工业, 上海市经济和信息化委员会
年度物联网应用示范工程奖, 经济建设, 物联网应用示范工程奖, 信息产业综合类, 上海市经济和信息化委员会
信息服务业产业基地, 经济建设, 基地全称、界域、运营管理机构及联系方式、主要领域类别, 信息产业综合类, 上海市经济和信息化委员会
工业投资信息, 经济建设, 工业投资总量、增速、制造业、水电气供应业、各种所有制类型、重点行业投资总量、增速, 工业, 上海市经济和信息化委员会
重点行业环境整治信息, 资源环境, 环境整治, 环境保护、治理, 上海市环境保护局
创意产业集聚区, 经济建设, 集聚区名称、地址、主导产业、概况、入驻企业、服务平台、联系方式, 工业, 上海市经济和信息化委员会
&ldquo;i-Shanghai&ldquo;免费网络, 民生服务, 行政区划、场所名称、场所地址、覆盖范围、场所类型, 网络, 上海市经济和信息化委员会
计算机信息系统集成资质企业, 经济建设, 企业名称、资质证书编号、批准备案日期、首次获证日期、资质等级、所属省市, 信息产业综合类, 上海市经济和信息化委员会
软件和信息服务业机构, 经济建设, 机构名称、地址、网址、电话、传真、简介, 信息产业综合类, 上海市经济和信息化委员会
信息安全服务机构推荐名单, 机构团体, 机构名称、地址、联系电话, 信息产业综合类, 上海市经济和信息化委员会
电子政务领域国产信息安全产品使用排名, 公共安全, 产品类型、产商名称、应用数量, 信息产业综合类, 上海市经济和信息化委员会
集成电路设计企业, 经济建设, 企业名称、地址、主要产品、联系电话, 信息产业综合类, 上海市经济和信息化委员会
上海工业云创新服务试点企业, 经济建设, 上海、工业云、创新服务、试点, 信息产业综合类, 上海市经济和信息化委员会
节能技改领域专项资金分配结果, 经济建设, 2014、节能技改、专项资金、分配, 工业, 上海市经济和信息化委员会
合同能源管理领域专项资金分配结果, 经济建设, 2014、合同能源管理、专项资金, 工业, 上海市经济和信息化委员会
市经济信息化委行政审批事项, 经济建设, 审批事项、依据、处室、期限, 经济管理, 上海市经济和信息化委员会
优秀历史建筑信息, 城市建设, 优秀历史建筑, 房地产, 上海市住房保障和房屋管理局
居住小区信息, 城市建设, 居住小区, 房地产, 上海市住房保障和房屋管理局
物业管理专业人员信息, 城市建设, 物业管理专业人员, 房地产, 上海市住房保障和房屋管理局
注册房地产估价师, 城市建设, 注册房地产估价师, 房地产, 上海市住房保障和房屋管理局
住房公积金信息, 城市建设, 住房公积金, 城乡建设, 上海市城乡建设和管理委员会
售后公房维修资金信息, 城市建设, 维修资金, 城乡建设, 上海市城乡建设和管理委员会
欠缴税款纳税人名单, 经济建设, 纳税人基础信息，欠税信息, 税务, 上海市地方税务局
建筑业受理服务部门信息, 城市建设, 建筑业受理服务部门, 城乡建设, 上海市城乡建设和管理委员会
固定形式印刷品广告登记证, 经济建设, 固定形式印刷品，广告，登记证, 工商, 上海市工商行政管理局
经营异常企业信息, 经济建设, 工商，经营异常企业, 工商, 上海市工商行政管理局
执业经纪人信息, 经济建设, 工商，执业经纪人, 工商, 上海市工商行政管理局
地质灾害治理工程勘察、设计、施工、监理单位资质审批, 资源环境, 地质灾害治理工程勘察、设计、施工、监理单位资质审批, 矿藏, 上海市规划和国土资源管理局
地质勘查资质注册登记, 资源环境, 地质勘查资质注册登记, 矿藏, 上海市规划和国土资源管理局
垃圾分类场所, 城市建设, 名称，地址，街镇, 城乡建设与环境保护综合类, 上海市绿化和市容管理局
园林绿化企业资质信息, 城市建设, 营业执照注册号，法人名称，证件名称，证件号，发证单位，资质等级，有效期起，有效期止, 综合类, 上海市绿化和市容管理局
上海市智慧城市体验中心, 城市建设, 智慧城市、体验、中心, 信息产业综合类, 上海市经济和信息化委员会
智慧社区试点单位, 城市建设, 智慧社区、试点单位, 信息产业综合类, 上海市经济和信息化委员会
智慧村庄试点单位, 城市建设, 智慧村庄、试点单位, 信息产业综合类, 上海市经济和信息化委员会
智慧园区, 经济建设, 智慧园区, 信息产业综合类, 上海市经济和信息化委员会
电动自行车产品目录, 经济建设, 电动、自行车、产品目录, 工业, 上海市经济和信息化委员会
市国资委监管单位基本信息, 经济建设, 单位名称、地址、联系电话, 综合政务类, 上海市国有资产监督管理委员会
上海市2015年度行政事业性收费项目目录, 经济建设, 行政事业性收费, 财政, 上海市财政局
上海市税收收入统计情况, 经济建设, 上海市税收收入统计情况, 税务, 上海市地方税务局
上海市2015年度涉企行政事业性收费项目目录, 经济建设, 行政事业性收费, 财政, 上海市财政局
粮食管理机构信息, 机构团体, 粮食，管理，机构, 商贸综合类, 上海市粮食局
各区县税务分局对外服务窗口, 机构团体, 各区县税务分局对外服务窗口，办税服务厅, 税务, 上海市地方税务局
各直属税务分局对外服务窗口, 机构团体, 各直属税务分局对外服务窗口, 税务, 上海市地方税务局
各区县办税服务厅个人房产税专窗, 民生服务, 各区县办税服务厅个人房产税专窗, 税务, 上海市地方税务局
上海市各区县税务局私房出租代征点信息, 民生服务, 上海市各区县税务局私房出租代征点信息, 税务, 上海市地方税务局
法律援助中心, 机构团体, 法律援助中心, 政法综合类, 上海市司法局
基层法律服务所, 社会发展, 基层法律服务所, 政法综合类, 上海市司法局
公证处, 社会发展, 公证处, 政法综合类, 上海市司法局
报废机动车信息, 道路交通, 报废机动车, 国内贸易, 上海市商务委员会
上海标准化菜市场基本情况, 民生服务, 标准化、菜市场, 商贸综合类, 上海市商务委员会
公证员, 社会发展, 公证员, 司法, 上海市司法局
律师信息, 社会发展, 律师, 司法, 上海市司法局
外省市驻沪建管部门信息, 城市建设, 外省市驻沪建管部门, 城乡建设, 上海市城乡建设和管理委员会
基层法律工作者, 社会发展, 基层法律工作者, 司法, 上海市司法局
