数据条目, 资源分类, 关键字, 国家分类, 部门分类, 时间, 提供单位, 提供地址
侨务引智引资创业服务点信息, 经济建设, 创业服务, 综合类, 业务类, 2016-01-27, 上海市人民政府侨务办公室, 延安西路129号12楼
华侨事务受理信息, 民生服务, 事务受理, 综合类, 业务类, 2016-01-27, 上海市人民政府侨务办公室, 延安西路129号12楼
市政府侨办行政权力清单, 民生服务, 行政权力, 综合类, 机构职能, 2016-01-27, 上海市人民政府侨务办公室, 延安西路129号12楼
各区县侨办基本信息, 机构团体, 机构, 综合类, 机构职能, 2016-01-27, 上海市人民政府侨务办公室, 延安西路129号12楼
旅游集散中心, 文化休闲, 旅游，集散, 旅游, 其他类, 2015-01-13, 上海市旅游局, 大沽路100号10楼
上海市船舶过闸收费信息, 道路交通, 收费区县、通航水闸数量、过闸船舶吨位、过闸船舶数量、过闸收入, 水利, 业务类, 2015-10-28, 上海市水务局, 江苏路389号
设施附件类数据, 城市建设, 附件数据, 水利, 业务类, 2015-10-30, 上海市水务局, 江苏路389号
区县水务行政审批业务受理管理信息, 资源环境, 水务、区县、行政审批、报表, 水利, 业务类, 2014-12-29, 上海市水务局, 上海市江苏路389号
道路积水自动监测站点信息, 资源环境, 名称、地址, 综合类, 业务类, 2015-10-29, 上海市水务局, 江苏路389号
上海旅游统计数据-旅行社国内旅游组团人数和接待人数（人次）, 文化休闲, 旅行社国内旅游组团人数和接待人数, 旅游, 业务类, 2016-01-15, 上海市旅游局, 大沽路100号10楼
上海旅游统计数据-旅行社组织出境旅游人数（人次）, 文化休闲, 旅行社组织出境旅游人数（人次），, 旅游, 业务类, 2016-01-15, 上海市旅游局, 大沽路100号10楼
上海旅游统计数据-旅行社外联、接待入境旅游人数（人次）, 文化休闲, 旅行社外联、接待入境旅游人数（人次）, 旅游, 业务类, 2016-01-15, 上海市旅游局, 大沽路100号10楼
废弃电器电子产品处理资格证书名单, 资源环境, 电子废物、处置单位, 环境保护、治理, 业务类, 2015-03-17, 上海市环境保护局, 三江路55号
上海旅游统计数据-旅游饭店客房平均出租率和平均房价, 文化休闲, 旅游饭店客房平均出租率和平均房价, 旅游, 业务类, 2016-01-15, 上海市旅游局, 大沽路100号10楼
上海旅游统计数据-入境外国人按主要客源国分（人次）, 文化休闲, 入境外国人按主要客源国分（人次）, 旅游, 业务类, 2016-01-14, 上海市旅游局, 大沽路100号10楼
上海旅游统计数据-本市接待入境旅游者人数（人次）, 文化休闲, 本市接待入境旅游者人数, 旅游, 业务类, 2016-01-14, 上海市旅游局, 大沽路100号10楼
集中式供水单位卫生许可信息, 卫生健康, 供水集中式许可卫生, 医药卫生管理, 机构职能, 2015-11-30, 上海市卫生和计划生育委员会, 上海市浦东新区世博村路300号
